sentence_id;words;labels
50;position;O
50;.;O
51;Strong;B-ISSUE
51;Interference;I-ISSUE
51;.;O
51;Fly;O
51;with;O
51;caution;O
51;.;O
52;GPS;B-ISSUE
52;Position;I-ISSUE
52;Mismatch;I-ISSUE
52;.;O
53;Fly;O
53;with;O
53;caution;O
53;and;O
53;ensure;O
53;the;O
53;aircraft;B-COMPONENT
53;remains;O
53;within;O
53;your;O
53;line;O
53;of;O
53;sight;O
53;.;O
54;Correcting;B-ACTION
54;Landing;B-PARAMETER
54;Position;I-PARAMETER
55;Weak;B-ISSUE
55;signal;I-ISSUE
55;.;O
55;Avoid;O
55;blocking;O
55;the;O
55;antennas;B-COMPONENT
55;and;O
55;keep;O
55;the;O
55;antennas;B-COMPONENT
55;parallel;O
55;to;O
55;and;O
55;facing;O
55;toward;O
55;the;O
55;aircraft;B-COMPONENT
55;during;O
55;flight;O
55;.;O
56;Forward;B-FUNCTION
56;Obstacle;I-FUNCTION
56;Sensing;I-FUNCTION
56;not;O
56;Responding;O
57;Landing;B-ACTION
57;Canceled;O
57;.;O
58;Data;B-COMPONENT
58;Recorder;I-COMPONENT
58;File;B-PARAMETER
58;Index;I-PARAMETER
58;is;O
58;57;O
58;.;O
59;Attitude;B-PARAMETER
59;is;O
59;too;O
59;large;O
59;.;O
60;Motors;B-COMPONENT
60;Started;O
60;.;O
61;High;B-ISSUE
61;wind;I-ISSUE
61;velocity;I-ISSUE
61;.;O
61;Fly;O
61;with;O
61;caution;O
61;.;O
62;Downlink;B-FUNCTION
62;Restored;O
62;(;O
62;after;O
62;0;O
62;m;O
62;2.9s;O
62;);O
62;.;O
63;Aircraft;B-COMPONENT
63;out;O
63;of;O
63;Range;O
64;Aircraft;B-COMPONENT
64;is;O
64;in;O
64;QuickShot;B-STATE
64;Mode;I-STATE
64;.;O
64;Ensure;O
64;your;O
64;enviornment;O
64;is;O
64;free;O
64;of;O
64;potential;O
64;obstacles;O
64;.;O
65;High;B-ISSUE
65;wind;I-ISSUE
65;velocity;I-ISSUE
65;.;O
65;Ensure;O
65;the;O
65;aircraft;B-COMPONENT
65;remains;O
65;within;O
65;your;O
65;line;O
65;of;O
65;sight;O
65;and;O
65;fly;O
65;with;O
65;caution;O
65;.;O
66;In;O
66;Flight;O
66;.;O
67;Precision;B-FUNCTION
67;Landing;I-FUNCTION
67;.;O
67;Rectifying;B-ACTION
67;aircraft;B-COMPONENT
67;position;O
67;.;O
68;Obstacle;B-FUNCTION
68;Avoidance;I-FUNCTION
68;will;O
68;be;O
68;disabled;O
68;in;O
68;landing;O
68;.;O
69;Remote;B-ACTION
69;controller;I-ACTION
69;assisted;I-ACTION
69;takeoff;I-ACTION
69;initiated;O
69;.;O
70;Obstacle;B-FUNCTION
70;Sensing;I-FUNCTION
70;will;O
70;be;O
70;disabled;O
70;when;O
70;aircraft;B-COMPONENT
70;is;O
70;landing;O
70;.;O
70;Fly;O
70;with;O
70;caution;O
70;.;O
71;GPS;B-ISSUE
71;Position;I-ISSUE
71;Mismatch;I-ISSUE
71;.;O
72;Attitude;B-PARAMETER
72;is;O
72;too;O
72;large;O
72;.;O
72;Backward;B-FUNCTION
72;Obstacle;I-FUNCTION
72;Sensing;I-FUNCTION
72;is;O
72;not;O
72;functioning;O
72;.;O
73;Aircraft;B-COMPONENT
73;is;O
73;entering;O
73;a;O
73;restricted;O
73;area;O
74;Home;B-PARAMETER
74;Point;I-PARAMETER
74;Recorded;O
74;.;O
75;Tap;O
75;the;O
75;screen;B-COMPONENT
75;lightly;O
75;to;O
75;focus;O
75;.;O
76;Weak;B-ISSUE
76;signal;I-ISSUE
76;.;O
76;Avoid;O
76;blocking;O
76;the;O
76;antennas;B-COMPONENT
76;and;O
76;keep;O
76;the;O
76;antennas;B-COMPONENT
76;parallel;O
76;to;O
76;and;O
76;facing;O
76;toward;O
76;the;O
76;aircraft;B-COMPONENT
76;during;O
76;flight;O
76;.;O
77;Weak;B-ISSUE
77;GPS;I-ISSUE
77;signal;I-ISSUE
77;.;O
77;Aircraft;B-COMPONENT
77;is;O
77;in;O
77;Attitude;B-STATE
77;mode;I-STATE
77;and;O
77;hovering;O
77;may;O
77;be;O
77;unstable;O
77;.;O
77;Fly;O
77;with;O
77;caution;O
77;.;O
78;GPS;B-ISSUE
78;Position;I-ISSUE
78;Mismatch;I-ISSUE
78;.;O
79;Home;B-PARAMETER
79;Point;I-PARAMETER
79;Recorded;O
79;Return-to-Home;B-PARAMETER
79;Altitude;I-PARAMETER
79;:;O
79;98FT;O
80;Precision;B-FUNCTION
80;Landing;I-FUNCTION
80;.;O
80;Rectifying;B-ACTION
80;aircraft;B-COMPONENT
80;position;O
80;.;O
81;Downlink;B-FUNCTION
81;Restored;O
81;(;O
81;after;O
81;0;O
81;m;O
81;1.7s;O
81;);O
81;.;O
82;GPS;B-ISSUE
82;Position;I-ISSUE
82;Mismatch;I-ISSUE
82;.;O
83;Home;B-PARAMETER
83;Point;I-PARAMETER
83;Recorded;O
83;.;O
83;RTH;B-PARAMETER
83;Altitude;I-PARAMETER
83;:;O
83;30m;O
83;.;O
84;Home;B-PARAMETER
84;Point;I-PARAMETER
84;Recorded;O
84;.;O
84;RTH;B-PARAMETER
84;Altitude;I-PARAMETER
84;:;O
84;30m;O
84;.;O
85;GPS;B-ISSUE
85;Position;I-ISSUE
85;Mismatch;I-ISSUE
85;.;O
86;Taking;B-ACTION
86;Off;I-ACTION
86;.;O
87;Obstacle;B-FUNCTION
87;Sensing;I-FUNCTION
87;will;O
87;be;O
87;disabled;O
87;when;O
87;aircraft;B-COMPONENT
87;is;O
87;landing;O
87;.;O
87;Fly;O
87;with;O
87;caution;O
87;.;O
88;GPS;B-ISSUE
88;Position;I-ISSUE
88;Mismatch;I-ISSUE
88;.;O
89;Landing;B-COMPONENT
89;Gear;I-COMPONENT
89;Raised;O
89;.;O
90;Yaw;B-ISSUE
90;Error;I-ISSUE
90;.;O
91;GPS;B-ISSUE
91;Position;I-ISSUE
91;Mismatch;I-ISSUE
91;.;O
92;Downlink;B-ISSUE
92;Lost;I-ISSUE
92;.;O
93;Home;B-PARAMETER
93;Point;I-PARAMETER
93;Recorded;O
93;.;O
94;Switched;O
94;to;O
94;P;B-STATE
94;(Positioning)-mode;I-STATE
94;.;O
95;Aircraft;B-COMPONENT
95;is;O
95;in;O
95;Attitude;B-STATE
95;mode;I-STATE
95;so;O
95;that;O
95;it;O
95;will;O
95;not;O
95;hover;O
95;.;O
95;Please;O
95;fly;O
95;with;O
95;caution;O
95;.;O
96;Aircraft;B-COMPONENT
96;is;O
96;returning;O
96;to;O
96;the;O
96;Home;B-PARAMETER
96;Point;I-PARAMETER
96;.;O
96;Minimum;B-PARAMETER
96;RTH;I-PARAMETER
96;Altitude;I-PARAMETER
96;is;O
96;30;O
96;m.;O
96;You;O
96;can;O
96;reset;O
96;the;O
96;RTH;B-PARAMETER
96;Altitude;I-PARAMETER
96;in;O
96;Remote;B-FUNCTION
96;Controller;I-FUNCTION
96;Settings;I-FUNCTION
96;after;O
96;cancelling;O
96;RTH;B-ACTION
96;.;O
97;GPS;B-ISSUE
97;Position;I-ISSUE
97;Mismatch;I-ISSUE
97;.;O
98;GPS;B-ISSUE
98;Position;I-ISSUE
98;Mismatch;I-ISSUE
98;.;O
99;Tap;O
99;the;O
99;screen;B-COMPONENT
99;lightly;O
99;to;O
99;focus;O
99;.;O
100;Satellite;B-FUNCTION
100;positioning;I-FUNCTION
100;off;O
100;.;O
100;Fly;O
100;with;O
100;Caution;O
100;.;O
101;Aircraft;B-COMPONENT
101;is;O
101;in;O
101;Attitude;B-STATE
101;mode;I-STATE
101;so;O
101;that;O
101;it;O
101;will;O
101;not;O
101;hover;O
101;.;O
101;Please;O
101;fly;O
101;with;O
101;caution;O
101;.;O
102;Aircraft;B-COMPONENT
102;is;O
102;in;O
102;Attitude;B-STATE
102;mode;I-STATE
102;so;O
102;that;O
102;it;O
102;will;O
102;not;O
102;hover;O
102;.;O
102;Please;O
102;fly;O
102;with;O
102;caution;O
102;.;O
103;GPS;B-ISSUE
103;Position;I-ISSUE
103;Mismatch;I-ISSUE
103;.;O
104;Data;B-COMPONENT
104;Recorder;I-COMPONENT
104;File;B-PARAMETER
104;Index;I-PARAMETER
104;is;O
104;46;O
104;.;O
105;GPS;B-ISSUE
105;Position;I-ISSUE
105;Mismatch;I-ISSUE
105;.;O
106;In;O
106;Flight;O
106;.;O
107;Downlink;B-FUNCTION
107;Restored;O
107;(;O
107;after;O
107;0;O
107;m;O
107;1.5s;O
107;);O
107;.;O
108;Obstacle;B-FUNCTION
108;Avoidance;I-FUNCTION
108;will;O
108;be;O
108;disabled;O
108;in;O
108;landing;O
108;.;O
109;GPS;B-ISSUE
109;Position;I-ISSUE
109;Mismatch;I-ISSUE
109;.;O
110;Return-to-Home;B-PARAMETER
110;Altitude;I-PARAMETER
110;:;O
110;65FT;O
111;RTH;B-ACTION
111;:;O
111;Heading;B-STATE
111;alignment;I-STATE
111;.;O
112;Descending;B-ACTION
112;.;O
112;Exited;B-ACTION
112;Visual;B-FUNCTION
112;Avoidance;I-FUNCTION
112;System;I-FUNCTION
113;Precision;B-FUNCTION
113;Landing;I-FUNCTION
113;.;O
113;Rectifying;B-ACTION
113;aircraft;B-COMPONENT
113;position;O
113;.;O
114;Landing;B-COMPONENT
114;Gear;I-COMPONENT
114;Raised;O
114;.;O
115;Compass;B-ISSUE
115;Stuck;I-ISSUE
115;.;O
115;Restart;B-ACTION
115;Aircraft;B-COMPONENT
115;.;O
115;Contact;O
115;DJI;B-FUNCTION
115;Support;I-FUNCTION
115;if;O
115;this;O
115;persists;O
115;.;O
116;Aircraft;B-COMPONENT
116;is;O
116;in;O
116;Attitude;B-STATE
116;mode;I-STATE
116;so;O
116;that;O
116;it;O
116;will;O
116;not;O
116;hover;O
116;.;O
116;Please;O
116;fly;O
116;with;O
116;caution;O
116;.;O
117;GPS;B-ISSUE
117;Position;I-ISSUE
117;Mismatch;I-ISSUE
117;.;O
118;Strong;B-ISSUE
118;Interference;I-ISSUE
118;Detected;O
118;.;O
118;Be;O
118;careful;O
118;when;O
118;flying;O
118;long;O
118;distances;O
118;.;O
119;Precision;B-FUNCTION
119;Landing;I-FUNCTION
119;.;O
119;Rectifying;B-ACTION
119;aircraft;B-COMPONENT
119;position;O
119;.;O
120;Precision;B-FUNCTION
120;Landing;I-FUNCTION
120;.;O
120;Rectifying;B-ACTION
120;aircraft;B-COMPONENT
120;position;O
120;.;O
121;GPS;B-ISSUE
121;Position;I-ISSUE
121;Mismatch;I-ISSUE
121;.;O
122;Drag;O
122;a;O
122;box;O
122;around;O
122;or;O
122;tap;O
122;a;O
122;target;O
122;on;O
122;screen;O
122;.;O
122;Then;O
122;tap;O
122;Go;O
122;.;O
123;Weak;B-ISSUE
123;GPS;I-ISSUE
123;signal;I-ISSUE
123;.;O
123;Aircraft;B-COMPONENT
123;is;O
123;in;O
123;Attitude;B-STATE
123;mode;I-STATE
123;and;O
123;hovering;O
123;may;O
123;be;O
123;unstable;O
123;.;O
123;Fly;O
123;with;O
123;caution;O
123;.;O
124;Downlink;B-ISSUE
124;Lost;I-ISSUE
124;.;O
125;Mobile;B-PARAMETER
125;device;I-PARAMETER
125;version;I-PARAMETER
125;too;O
125;old;O
125;to;O
125;support;O
125;HD;B-FUNCTION
125;image;I-FUNCTION
125;transmission;I-FUNCTION
125;and;O
125;the;O
125;image;B-PARAMETER
125;transmission;I-PARAMETER
125;mode;I-PARAMETER
125;has;O
125;been;O
125;switch;O
125;to;O
125;normal;B-STATE
125;mode;I-STATE
125;.;O
126;High;B-ISSUE
126;wind;I-ISSUE
126;velocity;I-ISSUE
126;.;O
126;Ensure;O
126;the;O
126;aircraft;B-COMPONENT
126;remains;O
126;within;O
126;your;O
126;line;O
126;of;O
126;sight;O
126;and;O
126;fly;O
126;with;O
126;caution;O
126;.;O
127;Downlink;B-FUNCTION
127;Restored;O
127;(;O
127;after;O
127;0;O
127;m;O
127;0.9s;O
127;);O
127;.;O
128;Low;B-ISSUE
128;Power;I-ISSUE
128;.;O
128;Aircraft;B-COMPONENT
128;is;O
128;returning;O
128;to;O
128;the;O
128;Home;B-PARAMETER
128;Point;I-PARAMETER
128;.;O
129;High;B-ISSUE
129;wind;I-ISSUE
129;velocity;I-ISSUE
129;.;O
129;Fly;O
129;with;O
129;caution;O
129;.;O
130;Returning;B-ACTION
130;to;O
130;the;O
130;Home;B-PARAMETER
130;Point;I-PARAMETER
131;Yaw;B-ISSUE
131;Error;I-ISSUE
131;.;O
132;GPS;B-ISSUE
132;Position;I-ISSUE
132;Mismatch;I-ISSUE
132;.;O
133;Can;O
133;not;O
133;switch;O
133;flight;B-PARAMETER
133;mode;I-PARAMETER
133;.;O
133;Turn;O
133;on;O
133;"""""""""";O
133;Multiple;B-FUNCTION
133;Flight;I-FUNCTION
133;Modes;I-FUNCTION
133;"""""""""";O
133;to;O
133;enable;O
133;Atti;B-STATE
133;and;O
133;Sport;B-STATE
133;Modes;I-STATE
133;.;O
134;Tap;O
134;the;O
134;screen;B-COMPONENT
134;lightly;O
134;to;O
134;focus;O
134;.;O
135;Maximum;B-PARAMETER
135;Flight;I-PARAMETER
135;Distance;I-PARAMETER
135;Reached;O
135;.;O
135;Adjust;O
135;distance;O
135;in;O
135;MC;B-FUNCTION
135;Settings;I-FUNCTION
135;if;O
135;required;O
135;.;O
136;GPS;B-ISSUE
136;Position;I-ISSUE
136;Mismatch;I-ISSUE
136;.;O
137;High;B-ISSUE
137;wind;I-ISSUE
137;velocity;I-ISSUE
137;.;O
137;Fly;O
137;with;O
137;caution;O
137;and;O
137;land;O
137;in;O
137;a;O
137;safe;O
137;place;O
137;ASAP;O
137;.;O
138;GPS;B-ISSUE
138;Position;I-ISSUE
138;Mismatch;I-ISSUE
138;.;O
139;RTH;B-ACTION
139;:;O
139;Preascending;B-STATE
139;.;O
140;Backward;B-FUNCTION
140;Obstacle;I-FUNCTION
140;Sensing;I-FUNCTION
140;is;O
140;not;O
140;functioning;O
140;.;O
141;Return-to-Home;B-PARAMETER
141;Altitude;I-PARAMETER
141;:;O
141;98FT;O
142;Home;B-PARAMETER
142;Point;I-PARAMETER
142;Recorded;O
142;Return-to-Home;B-PARAMETER
142;Altitude;I-PARAMETER
142;:;O
142;98FT;O
143;Aircraft;B-COMPONENT
143;is;O
143;returning;O
143;to;O
143;the;O
143;Home;B-PARAMETER
143;Point;I-PARAMETER
143;.;O
143;RTH;B-PARAMETER
143;Altitude;I-PARAMETER
143;is;O
143;30;O
143;m.;O
143;You;O
143;can;O
143;reset;O
143;the;O
143;RTH;B-PARAMETER
143;Altitude;I-PARAMETER
143;in;O
143;Remote;B-FUNCTION
143;Controller;I-FUNCTION
143;Settings;I-FUNCTION
143;after;O
143;cancelling;O
143;RTH;B-ACTION
143;if;O
143;necessary;O
143;.;O
144;GPS;B-ISSUE
144;Position;I-ISSUE
144;Mismatch;I-ISSUE
144;.;O
145;Downlink;B-ISSUE
145;Lost;I-ISSUE
145;.;O
146;Subject;B-ISSUE
146;too;I-ISSUE
146;Large;I-ISSUE
146;.;O
146;Move;O
146;Away;O
146;and;O
146;retry;O
147;GPS;B-ISSUE
147;Position;I-ISSUE
147;Mismatch;I-ISSUE
147;.;O
148;High;B-ISSUE
148;wind;I-ISSUE
148;velocity;I-ISSUE
148;.;O
148;Ensure;O
148;the;O
148;aircraft;B-COMPONENT
148;remains;O
148;within;O
148;your;O
148;line;O
148;of;O
148;sight;O
148;and;O
148;fly;O
148;with;O
148;caution;O
148;.;O
149;Home;B-PARAMETER
149;Point;I-PARAMETER
149;Recorded;O
149;.;O
150;To;O
150;take;O
150;off;O
150;in;O
150;non-P;B-STATE
150;mode;I-STATE
150;toggle;O
150;Flight;B-COMPONENT
150;Mode;I-COMPONENT
150;Switch;I-COMPONENT
150;to;O
150;another;O
150;mode;O
150;and;O
150;then;O
150;toggle;O
150;it;O
150;back;O
150;.;O
151;Fly;O
151;with;O
151;caution;O
151;and;O
151;ensure;O
151;the;O
151;aircraft;B-COMPONENT
151;remains;O
151;within;O
151;your;O
151;line;O
151;of;O
151;sight;O
151;.;O
152;Set;O
152;Flight;B-PARAMETER
152;Mode;I-PARAMETER
152;to;O
152;GPS;B-STATE
152;to;O
152;fly;O
152;safe;O
153;Camera;B-STATE
153;Settings;I-STATE
153;Adjusted;O
153;to;O
153;ActiveTrack;B-STATE
154;GPS;B-ISSUE
154;Position;I-ISSUE
154;Mismatch;I-ISSUE
154;.;O
155;Taking;B-ACTION
155;Off;I-ACTION
155;.;O
156;GPS;B-ISSUE
156;Position;I-ISSUE
156;Mismatch;I-ISSUE
156;.;O
157;In;O
157;Flight;O
157;.;O
158;Fly;O
158;with;O
158;caution;O
158;and;O
158;ensure;O
158;the;O
158;aircraft;B-COMPONENT
158;remains;O
158;within;O
158;your;O
158;line;O
158;of;O
158;sight;O
158;.;O
159;GPS;B-ISSUE
159;Position;I-ISSUE
159;Mismatch;I-ISSUE
159;.;O
160;Aircraft;B-COMPONENT
160;is;O
160;in;O
160;Attitude;B-STATE
160;mode;I-STATE
160;so;O
160;that;O
160;it;O
160;will;O
160;not;O
160;hover;O
160;.;O
160;Please;O
160;fly;O
160;with;O
160;caution;O
160;.;O
161;High;B-ISSUE
161;wind;I-ISSUE
161;velocity;I-ISSUE
161;.;O
161;Ensure;O
161;the;O
161;aircraft;B-COMPONENT
161;remains;O
161;within;O
161;your;O
161;line;O
161;of;O
161;sight;O
161;and;O
161;fly;O
161;with;O
161;caution;O
161;.;O
162;Landing;B-ACTION
162;Canceled;O
162;.;O
163;Home;B-PARAMETER
163;Point;I-PARAMETER
163;Recorded;O
163;.;O
163;RTH;B-PARAMETER
163;Altitude;I-PARAMETER
163;:;O
163;30m;O
163;.;O
164;Your;O
164;palm;O
164;is;O
164;too;O
164;close;O
164;to;O
164;the;O
164;aircraft;B-COMPONENT
164;.;O
164;Please;O
164;step;O
164;farther;O
164;away;O
164;.;O
165;Landing;B-FUNCTION
165;Protection;I-FUNCTION
165;Activated;O
165;.;O
165;Aircraft;B-COMPONENT
165;will;O
165;decelerate;O
165;during;O
165;landing;O
165;.;O
166;GPS;B-ISSUE
166;Position;I-ISSUE
166;Mismatch;I-ISSUE
166;.;O
167;Precision;B-FUNCTION
167;Landing;I-FUNCTION
167;.;O
167;Correcting;B-ACTION
167;Landing;B-PARAMETER
167;Position;I-PARAMETER
167;.;O
168;Strong;B-ISSUE
168;Interference;I-ISSUE
168;Detected;O
168;.;O
168;Be;O
168;careful;O
168;when;O
168;flying;O
168;long;O
168;distances;O
168;.;O
169;Strong;B-ISSUE
169;wireless;I-ISSUE
169;interference;I-ISSUE
169;.;O
169;Please;O
169;fly;O
169;with;O
169;caution;O
169;.;O
170;Landing;B-COMPONENT
170;Gear;I-COMPONENT
170;Raising;O
170;.;O
171;Forward;B-FUNCTION
171;Obstacle;I-FUNCTION
171;Sensing;I-FUNCTION
171;not;O
171;Responding;O
172;Home;B-PARAMETER
172;Point;I-PARAMETER
172;Recorded;O
172;.;O
172;RTH;B-PARAMETER
172;Altitude;I-PARAMETER
172;:;O
172;30m;O
172;.;O
173;GPS;B-ISSUE
173;Position;I-ISSUE
173;Mismatch;I-ISSUE
173;.;O
174;Precision;B-FUNCTION
174;Landing;I-FUNCTION
174;.;O
174;Rectifying;B-ACTION
174;aircraft;B-COMPONENT
174;position;O
174;.;O
175;Strong;O
175;Remote;B-COMPONENT
175;Controller;I-COMPONENT
175;Interference;B-ISSUE
175;.;O
176;Home;B-PARAMETER
176;Point;I-PARAMETER
176;Recorded;O
176;.;O
176;RTH;B-PARAMETER
176;Altitude;I-PARAMETER
176;:;O
176;30m;O
176;.;O
177;Large;B-ISSUE
177;Wind;I-ISSUE
177;Velocity;I-ISSUE
177;.;O
177;Fly;O
177;with;O
177;caution;O
177;.;O
178;Exited;B-ACTION
178;Visual;B-FUNCTION
178;Avoidance;I-FUNCTION
178;System;I-FUNCTION
178;.;O
179;Braking;B-ACTION
179;now;O
179;!;O
179;Return;O
179;sticks;B-COMPONENT
179;to;O
179;midpoints;O
179;first;O
179;.;O
180;Attitude;B-PARAMETER
180;is;O
180;too;O
180;large;O
180;.;O
181;Weak;B-ISSUE
181;signal;I-ISSUE
181;.;O
181;Avoid;O
181;blocking;O
181;the;O
181;antennas;B-COMPONENT
181;and;O
181;keep;O
181;the;O
181;antennas;B-COMPONENT
181;parallel;O
181;to;O
181;and;O
181;facing;O
181;toward;O
181;the;O
181;aircraft;B-COMPONENT
181;during;O
181;flight;O
181;.;O
182;Home;B-PARAMETER
182;Point;I-PARAMETER
182;recorded;O
182;.;O
182;Return-to-Home;B-PARAMETER
182;Altitude;I-PARAMETER
182;:;O
